Gata;Område;Storlek;Slutpris;Månadskostnad;Datum;Hiss;Nyproduktion;Balkong;Uteplats;Kommun;Rooms
Näckrosvägen 25, 3 tr;Råsunda - Näckrosen;56,5;3275000;3498;4 dec. 2023;1;0;1;0; Solna kommun;2
Järva skjutbaneväg 31;Järvastaden;46,5;2700000;2929;3 dec. 2023;1;0;1;0; Solna kommun;2
Pipers Väg 169;Bergshamra;117;8700000;6960;2 dec. 2023;0;0;0;0; Solna kommun;4
Armégatan 9B;Västra Skogen;38;2775000;2264;2 dec. 2023;1;0;1;0; Solna kommun;2
Solnavägen 96B, våning 2;Råsunda;93;6150000;6074;1 dec. 2023;1;0;1;0; Solna kommun;4
Gustav III:s Boulevard 139, 3 tr;Frösunda;103;6185000;5805;1 dec. 2023;1;0;1;0; Solna kommun;4
Johan Enbergs väg 3;Västra Skogen;78;4700000;4058;30 nov. 2023;1;0;1;0; Solna kommun;3
Armégatan 9A, 3 tr;Solna - Västra skogen;78;4750000;4648;30 nov. 2023;1;0;1;0; Solna kommun;3
Huvudstagatan 1D, 3 tr;Solna Centrum;98;5700000;5350;30 nov. 2023;1;0;1;0; Solna kommun;4
Blomgatan 12;Rudviken;36,5;2450000;1992;30 nov. 2023;1;0;1;0; Solna kommun;2
Klippgatan 12 A, 1 tr;Solna Centrum;96,5;4925000;4941;30 nov. 2023;1;0;1;0; Solna kommun;4
Ritorpsvägen 3;Ritorp;70,7;3460000;3752;30 nov. 2023;0;0;1;0; Solna kommun;3
Johan Enbergs väg 50;Västra skogen / Huvudsta;80;5050000;5045;30 nov. 2023;1;0;1;0; Solna kommun;3
Stråkvägen 4B;Gamla Råsunda;76;5820000;3503;29 nov. 2023;1;0;0;0; Solna kommun;3
Infanterigatan 4;Västra Skogen;75,5;3750000;4163;29 nov. 2023;1;0;1;0; Solna kommun;3
Klippgatan 8C;Huvudsta;75;4150000;2753;29 nov. 2023;1;0;1;0; Solna kommun;3
Nybodagatan 6A;Skytteholm;73;3550000;3343;29 nov. 2023;1;0;1;0; Solna kommun;3
Gustav III:s Boulevard 21, 3 tr;Frösunda;94;5095000;5765;29 nov. 2023;1;0;1;0; Solna kommun;4
Lostigen 22;Bergshamra;75,5;4100000;3949;29 nov. 2023;0;0;1;0; Solna kommun;3
Infanterigatan 17;Västra skogen / Huvudsta;98,5;4800000;5160;29 nov. 2023;1;0;1;0; Solna kommun;4
Johan Enbergs väg 36;Västra Skogen;68,5;3100000;3781;28 nov. 2023;1;0;1;0; Solna kommun;2
Järva Skjutbaneväg 39;Järvastaden i Solna;49;2500000;2942;28 nov. 2023;1;0;0;1; Solna kommun;2
Rosenborgsgatan 3, 6 tr;Frösunda;107;6075000;5464;28 nov. 2023;1;0;1;0; Solna kommun;4
Vårvägen 5;Vireberg - Råsunda;51;3000000;2547;28 nov. 2023;0;0;1;0; Solna kommun;2
Johan Enbergs väg 58;Västra Skogen;71;3800000;3960;28 nov. 2023;0;0;1;0; Solna kommun;3
Illerstigen 38, 2 tr;Bergshamra;98;4795000;4785;27 nov. 2023;1;0;1;0; Solna kommun;4
Hasselstigen 2;Råsunda;62;4425000;3965;27 nov. 2023;1;0;1;0; Solna kommun;3
Gustav III:s Boulevard 13, 4 tr;Frösunda;72,5;3995000;4207;27 nov. 2023;1;0;1;0; Solna kommun;3
Ankdammsgatan 4;Skytteholm;81;4200000;4837;27 nov. 2023;1;0;1;0; Solna kommun;3
